id,fecha,hora,anamnesis,agendado,eog,tratamiento,temperatura,peso,referencia,nota_caja,atendidoPor,pendiente,aFuturo,createdAt,updateddAt,MascotumId,referenciumId,ClienteId
2256,"2023-02-28 00:00:00",00:00:00,"Sin referencia","2023-02-28 00:00:00","Sin referencia","VERMIC COMPRIMIDO",36.2,36.2,"Sin referencia","Sin referencia","Sin especificar",FALSE,FALSE,"2024-02-14 12:46:21","2024-02-14 12:46:39",588,3,402
2257,"2023-02-28 00:00:00",00:00:00,"Sin referencia","2023-02-28 00:00:00","Sin referencia","2 VACUNA PERRO",36.2,36.2,"Sin referencia","Sin referencia","Sin especificar",FALSE,FALSE,"2024-02-14 12:46:21","2024-02-14 12:46:39",494,3,297
2258,"2023-02-28 00:00:00",00:00:00,"Sin referencia","2023-02-28 00:00:00","Sin referencia","3 VACUNA PERRO",36.2,36.2,"Sin referencia","Sin referencia","Sin especificar",FALSE,FALSE,"2024-02-14 12:46:21","2024-02-14 12:46:39",395,3,388
2259,"2023-03-01 00:00:00",00:00:00,"Sin referencia","2023-03-01 00:00:00","Sin referencia","3 VACUNA PERRO",36.2,36.2,"Sin referencia","Sin referencia","Sin especificar",FALSE,FALSE,"2024-02-14 12:46:21","2024-02-14 12:46:39",327,3,161
2260,"2023-03-01 00:00:00",00:00:00,"Sin referencia","2023-03-01 00:00:00","Sin referencia","VERMIC JARABE",36.2,36.2,"Sin referencia","Sin referencia","Sin especificar",FALSE,FALSE,"2024-02-14 12:46:21","2024-02-14 12:46:39",627,3,437
2261,"2023-03-01 00:00:00",00:00:00,"Sin referencia","2023-03-01 00:00:00","Sin referencia","2 VACUNA PERRO",36.2,36.2,"Sin referencia","Sin referencia","Sin especificar",FALSE,FALSE,"2024-02-14 12:46:21","2024-02-14 12:46:39",583,3,387
2262,"2023-03-01 00:00:00",00:00:00,"Sin referencia","2023-03-01 00:00:00","Sin referencia","3 VACUNA PERRO",36.2,36.2,"Sin referencia","Sin referencia","Sin especificar",FALSE,FALSE,"2024-02-14 12:46:21","2024-02-14 12:46:39",451,3,195
2263,"2023-03-01 00:00:00",00:00:00,"Sin referencia","2023-03-01 00:00:00","Sin referencia","VERMIC JARABE",36.2,36.2,"Sin referencia","Sin referencia","Sin especificar",FALSE,FALSE,"2024-02-14 12:46:21","2024-02-14 12:46:39",629,3,439
2264,"2023-03-01 00:00:00",00:00:00,"Sin referencia","2023-03-01 00:00:00","Sin referencia","2 VACUNA GATO CON LA RABIA",36.2,36.2,"Sin referencia","Sin referencia","Sin especificar",FALSE,FALSE,"2024-02-14 12:46:21","2024-02-14 12:46:39",410,3,406
2265,"2023-03-02 00:00:00",00:00:00,"Sin referencia","2023-03-02 00:00:00","Sin referencia","4 VACUNA PERRO - RABIA",36.2,36.2,"Sin referencia","Sin referencia","Sin especificar",FALSE,FALSE,"2024-02-14 12:46:21","2024-02-14 12:46:39",170,3,1554
2266,"2023-03-02 00:00:00",00:00:00,"Sin referencia","2023-03-02 00:00:00","Sin referencia","VERMIC JARABE",36.2,36.2,"Sin referencia","Sin referencia","Sin especificar",FALSE,FALSE,"2024-02-14 12:46:21","2024-02-14 12:46:39",632,3,443
2267,"2023-03-02 00:00:00",00:00:00,"Sin referencia","2023-03-02 00:00:00","Sin referencia","4 VACUNA PERRO - RABIA",36.2,36.2,"Sin referencia","Sin referencia","Sin especificar",FALSE,FALSE,"2024-02-14 12:46:21","2024-02-14 12:46:39",638,3,447
2268,"2023-03-02 00:00:00",00:00:00,"Sin referencia","2023-03-02 00:00:00","Sin referencia","VERMIC COMPRIMIDO",36.2,36.2,"Sin referencia","Sin referencia","Sin especificar",FALSE,FALSE,"2024-02-14 12:46:21","2024-02-14 12:46:39",654,3,451
2269,"2023-03-02 00:00:00",00:00:00,"Sin referencia","2023-03-02 00:00:00","Sin referencia","VERMIC JARABE",36.2,36.2,"Sin referencia","Sin referencia","Sin especificar",FALSE,FALSE,"2024-02-14 12:46:21","2024-02-14 12:46:39",656,3,452
2270,"2023-03-04 00:00:00",00:00:00,"Sin referencia","2023-03-04 00:00:00","Sin referencia","1 VACUNA PERRO",36.2,36.2,"Sin referencia","Sin referencia","Sin especificar",FALSE,FALSE,"2024-02-14 12:46:21","2024-02-14 12:46:39",496,3,233
2271,"2023-03-04 00:00:00",00:00:00,"Sin referencia","2023-03-04 00:00:00","Sin referencia","VERMIC JARABE",36.2,36.2,"Sin referencia","Sin referencia","Sin especificar",FALSE,FALSE,"2024-02-14 12:46:21","2024-02-14 12:46:39",622,3,435
